Name,Year,Sex,Sport,NOC,Medal
"Myra Abigail ""Abbie"" Pratt (Pankhurst-, Wright-, -Karageorgevich)",1900,F,Golf,USA,1
Cecil Quentin,1900,M,Sailing,GBR,1
Andr Flix Rischmann,1900,M,Rugby,FRA,1
Henri Albert Fernand Laurent,1900,M,Fencing,FRA,1
George Washington F. Orton,1900,M,Athletics,CAN,2
Hendrik Karel Offerhaus,1900,M,Rowing,NED,1
Lloyd Augustin Biden Hildebrand,1900,M,Cycling,GBR,1
"Hendrik ""Henk"" van Heuckelum",1900,M,Football,NED,1
Carlos Deltour,1900,M,Rowing,FRA,1
Friedrich Lthi,1900,M,Shooting,SUI,1
Lon Binoche,1900,M,Rugby,FRA,1
"Siegfried Friedrich ""Fritz"" Flesch",1900,M,Fencing,AUT,1
Marion Jones (-Farquhar),1900,F,Tennis,USA,2
Henri Alexis Tauzin,1900,M,Athletics,FRA,1
Heinrich Reitz,1900,M,Rugby,GER,1
Henri Monnot,1900,M,Sailing,FRA,1
Henri Napolon Marie Maurice Gufflet,1900,M,Sailing,FRA,2
Arthur MacEvoy,1900,M,Cricket,GBR,1
Charles Devendeville,1900,M,Swimming,FRA,1
A. Dubois,1900,M,Sailing,FRA,2
Fardel,1900,M,Water Polo,FRA,1
Lewis Pendleton Sheldon,1900,M,Athletics,USA,2
Bernard Alexandre Georges Edmond de Pourtals,1900,M,Sailing,SUI,2
A. R. Upton,1900,M,Water Polo,BEL,1
Gabriel Charles Jean Le Bret,1900,M,Sailing,FRA,2
Milan (Mihajlo) Nerali,1900,M,Fencing,AUT,1
Prospre Bruggeman,1900,M,Rowing,BEL,1
"Henry Anthony ""Harry"" Van Bergen",1900,M,Sailing,USA,1
Michel Johann Thato,1900,M,Athletics,LUX,1
Ferdinand Ernst Felle,1900,M,Rowing,GER,1
Charles Bennett,1900,M,Athletics,GBR,3
Charles Beachey Beachcroft (Kay-),1900,M,Cricket,GBR,1
Ferdinand Schlatter,1900,M,Sailing,FRA,1
George John Buckley,1900,M,Cricket,GBR,1
Andr Jules Henri Six,1900,M,Swimming,FRA,1
Fritz Mller,1900,M,Rugby,GER,1
Walter Adolph McCreery,1900,M,Polo,USA,1
Pierre Gervais,1900,M,Sailing,FRA,2
Henricus Tromp (-van Hettinga Tromp),1900,M,Rowing,NED,1
"Henricus Petrus Augustinus Johannes ""Henri"" Smulders",1900,M,Sailing,NED,1
Charles Andr Gaudin,1900,M,Rowing,FRA,1
Henrik Sillem,1900,M,Shooting,NED,1
Lon Ernest Moreaux,1900,M,Shooting,FRA,2
Helmer Hermansen,1900,M,Shooting,NOR,1
Simon Alphonse Kirchhoffer,1900,M,Fencing,FRA,1
Heinrich Peters,1900,M,Sailing,GER,2
Louis Auguste Trousselier,1900,M,Cycling,FRA,1
Louis Bastien,1900,M,Cycling,FRA,1
Flix mile Marcotte,1900,M,Sailing,FRA,2
Louis Charles Marie Dutfoy,1900,M,Shooting,FRA,1
Louis Dsir Bach,1900,M,Football,FRA,1
Harry Richard Corner,1900,M,Cricket,GBR,1
Louis Edouard Albert Glineur,1900,M,Archery,BEL,1
"Louis Grenville ""Lou"" Abell",1900,M,Rowing,USA,1
Meyer Prinstein,1900,M,Athletics,USA,2
Auguste Mose Daumain,1900,M,Cycling,FRA,1
Frederick William Christian,1900,M,Cricket,GBR,1
Harry Leopold DeBaecke,1900,M,Rowing,USA,1
Louis Joseph Roffo,1900,M,Tug-Of-War,FRA,1
Louis Lonce Thophile Perre,1900,M,Fencing,FRA,1
Meredith Bright Colket,1900,M,Athletics,USA,1
Louis Lucien Mrignac,1900,M,Fencing,FRA,1
Louis Marcel Richardet,1900,M,Shooting,SUI,2
Foxhall Parker Keene,1900,M,Polo,USA,1
Louis Marie Joseph Le Beschu de Champsavin,1900,M,Equestrianism,FRA,1
Georges Garnier,1900,M,Football,FRA,1
Louis Martin,1900,M,Swimming,FRA,2
Gaston Cailleux,1900,M,Sailing,FRA,1
Auguste Jean Baptiste Louis Joseph Marc,1900,M,Water Polo,FRA,1
Louis Martin,1900,M,Water Polo,FRA,1
Louis Alexandre Laufray,1900,M,Water Polo,FRA,1
"Walter John ""Jack"" Zealley",1900,M,Football,GBR,1
Gustav Lexau,1900,M,Swimming,GER,1
Thomas Coe,1900,M,Water Polo,GBR,1
Lon Thibaut,1900,M,Fencing,FRA,1
Lon Thome,1900,M,Equestrianism,FRA,1
"Hedwiga Rosenbaumov (Austerlitz-, -Raabe)",1900,F,Tennis,BOH,2
Roelof Klein,1900,M,Rowing,NED,2
Aim Joseph Haegeman,1900,M,Equestrianism,BEL,1
Lon Se,1900,M,Fencing,FRA,2
Harry Wyndham Jefferson,1900,M,Sailing,GBR,1
Gaston Achille Louis Aumoitte,1900,M,Croquet,FRA,2
Guillaume Sron,1900,M,Water Polo,BEL,1
"Fernando ""Fernand"" Sanz y Martinez de Arizala",1900,M,Cycling,FRA,1
Andr Castanet,1900,M,Athletics,FRA,1
Auguste Serrurier,1900,M,Archery,FRA,2
Auguste Paul Almire Giroux,1900,M,Rugby,FRA,1
Carl Wilhelm Hugo Rster,1900,M,Rowing,GER,1
Roscoe Conkling Lockwood,1900,M,Rowing,USA,1
Lorne Campbell Currie,1900,M,Sailing,GBR,2
Michael Victor Alexander Lindberg,1900,M,Water Polo,NZL,1
Fiolet,1900,M,Water Polo,FRA,1
Frederick William Cuming,1900,M,Cricket,GBR,1
St George Ashe,1900,M,Rowing,GBR,1
Louis Albert Auguste-Dormeuil (Dormeuil-),1900,M,Sailing,FRA,1
Fernand mile Canelle,1900,M,Football,FRA,1
"Giovanni Giorgio ""Giangiorgio"" Trissino",1900,M,Equestrianism,ITA,2
Lon Tellier,1900,M,Sailing,FRA,1
Walter Eugene Egan,1904,M,Golf,USA,1
William L. Nelson,1904,M,Wrestling,USA,1
"Galen Carter ""G. C."" Spencer",1904,M,Archery,USA,1
"William Lawrie ""Billy"" Burns",1904,M,Lacrosse,CAN,1
"Garrett Putnam Serviss, Jr.",1904,M,Athletics,USA,1
Georg Hoffmann,1904,M,Diving,GER,1
Edgar Holmes Adams,1904,M,Swimming,USA,1
"Alexander Noble ""Sandy"" Hall",1904,M,Football,CAN,1
"Henry John ""Harry"" Spanjer",1904,M,Boxing,USA,2
"William Mayes ""Bill"" Michaels",1904,M,Boxing,USA,1
"William Thomas Edmund ""Billy"" Brennagh",1904,M,Lacrosse,CAN,1
William Thomas Passmore,1904,M,Lacrosse,USA,1
William Twaits,1904,M,Football,CAN,1
George Coleman Poage,1904,M,Athletics,USA,2
George Ducker,1904,M,Football,CAN,1
George William Passmore,1904,M,Lacrosse,USA,1
"John Frederick Bissinger, Jr.",1904,M,Gymnastics,USA,1
George Edwin Cooke,1904,M,Football,USA,1
George Ellsworth Wiley,1904,M,Cycling,USA,2
"William Wesley Coe, Jr.",1904,M,Athletics,USA,1
John Grey Hoben,1904,M,Rowing,USA,1
John Hartnett January,1904,M,Football,USA,1
George W. Van Cleaf,1904,M,Water Polo,USA,1
George Henry Bretz (-Brett),1904,M,Lacrosse,CAN,1
George V. Finnegan,1904,M,Boxing,USA,2
George Herbert Sheldon,1904,M,Diving,USA,1
George James Cattanach,1904,M,Lacrosse,CAN,1
George Seymour Lyon,1904,M,Golf,CAN,1
George John Dietz,1904,M,Rowing,USA,1
"George Philip ""Phil"" Bryant",1904,M,Archery,USA,3
"George Patten ""Pat"" Reiffenstein (-Carr)",1904,M,Rowing,CAN,1
George Louis Eyser,1904,M,Gymnastics,USA,6
George Nicholas Mehnert,1904,M,Wrestling,USA,1
John Deere Cady,1904,M,Golf,USA,1
Georg Hoffmann,1904,M,Swimming,GER,1
George Cloutier,1904,M,Lacrosse,CAN,1
William Scott O'Connor,1904,M,Fencing,USA,1
"Douglass Pope ""Doug"" Cadwallader",1904,M,Golf,USA,1
"William Michael ""Bill"" Varley",1904,M,Rowing,USA,2
Alexander Cudmore,1904,M,Football,USA,1
Red Jacket,1904,M,Lacrosse,CAN,1
William Partridge,1904,M,Lacrosse,USA,1
"Alexander ""Sandy"" Cowan",1904,M,Lacrosse,CAN,1
"Donald Ross ""Don"" MacKenzie",1904,M,Rowing,CAN,1
Georg Zacharias,1904,M,Swimming,GER,2
"William Peter ""Bill"" Hogenson",1904,M,Athletics,USA,3
George Bernard Underwood,1904,M,Athletics,USA,1
"John ""Jack"" Flett",1904,M,Lacrosse,CAN,1
"John ""Jack"" Sullivan",1904,M,Lacrosse,USA,1
Anton Heida,1904,M,Gymnastics,USA,6
William Ridout Wadsworth,1904,M,Rowing,CAN,1
"William Robert ""Bill"" Orthwein",1904,M,Swimming,USA,1
George Charles Oliver,1904,M,Golf,USA,1
"John Alexander ""Jack"" Fraser",1904,M,Football,CAN,1
"William Robert ""Bill"" Orthwein",1904,M,Water Polo,USA,1
John Alexander Duha,1904,M,Gymnastics,USA,2
George M. Strange,1904,M,Rowing,CAN,1
William Russell Van Horn,1904,M,Boxing,USA,1
John B. Rahm,1904,M,Golf,USA,1
John Bell Gourlay,1904,M,Football,CAN,1
John C. Hein,1904,M,Wrestling,USA,1
"Simeon Taylor ""Sim"" Price, Jr.",1904,M,Golf,USA,1
"Edwin ""Teddy"" Billington",1904,M,Cycling,USA,4
Gordon McDonald,1904,M,Football,CAN,1
Harry Potter,1904,M,Golf,USA,1
"Harry Livingston Hillman, Jr.",1904,M,Athletics,USA,3
"William ""Bill"" Beckman",1904,M,Wrestling,USA,1
Ramn Fonst Segundo,1904,M,Fencing,CUB,3
William A. Clark,1904,M,Archery,USA,1
Emma C. Cooke,1904,F,Archery,USA,2
"William Arthur ""Art"" Stickney",1904,M,Golf,USA,1
Emily Woodruff (Smiley-),1904,F,Archery,USA,1
"Isidor Gadar ""Jack"" Niflot",1904,M,Wrestling,USA,1
William Arthur Murphy,1904,M,Lacrosse,USA,1
Zoltn Imre dn von Halmay,1904,M,Swimming,HUN,2
William Bernard Seiling,1904,M,Tug-Of-War,USA,1
Emil William Breitkreutz,1904,M,Athletics,USA,1
Periklis Kakousis,1904,M,Weightlifting,GRE,1
Harry Jacobs,1904,M,Tug-Of-War,USA,1
Emil Alwell Voigt,1904,M,Gymnastics,USA,3
Emil A. Rausch,1904,M,Swimming,GER,3
"William C. ""Colonel"" Rice",1904,M,Rowing,CAN,1
Harry Hunter Lott,1904,M,Rowing,USA,1
Harry Francis Tate,1904,M,Football,USA,1
J. W. Dowling,1904,M,Lacrosse,USA,1
"Francis ""Frank"" Gailey",1904,M,Swimming,AUS,4
Snake Eater,1904,M,Lacrosse,CAN,1
"Harold William ""Harry"" Fraser",1904,M,Golf,USA,1
"Samuel Symington ""Sam"" Jones",1904,M,Athletics,USA,1
Smith O. Streeter,1904,M,Roque,USA,1
"Francis Clement ""Frank"" Newton",1904,M,Golf,USA,2
"Francis Louis ""Frank"" Schreiner",1904,M,Water Polo,USA,1
Emil Beyer,1904,M,Gymnastics,USA,1
Stuart Ralston Laidlaw,1904,M,Lacrosse,CAN,1
Allan Edward Lard,1904,M,Golf,USA,1
Flat Iron,1904,M,Lacrosse,CAN,1
"Henry Jamison ""Jam"" Handy",1904,M,Swimming,USA,1
Henry Seiling,1904,M,Tug-Of-War,USA,1
Fay R. Moulton,1904,M,Athletics,USA,1
Henry Chandler Egan,1904,M,Golf,USA,2
Henry Wood Jameson,1904,M,Football,USA,1
Samuel George Fitzhugh Townsend,1904,M,Fencing,USA,1
Henry Barber Richardson,1904,M,Archery,USA,1
Rain in Face,1904,M,Lacrosse,CAN,1
Samuel Harding Duvall,1904,M,Archery,USA,1
Herman Charles Groman,1904,M,Athletics,USA,1
"Amedee Valle Reyburn, Jr.",1904,M,Swimming,USA,1
"Amedee Valle Reyburn, Jr.",1904,M,Water Polo,USA,1
Ralph Charles Wilson,1904,M,Gymnastics,USA,1
Herman Theobald Glass,1904,M,Gymnastics,USA,1
"Alphonzo Edward Bell, Sr.",1904,M,Tennis,USA,2
"Samuel ""Sam"" Berger",1904,M,Boxing,USA,1
"John Joseph ""Joe"" Buerger",1904,M,Rowing,USA,1
Hilliard Lyle,1904,M,Lacrosse,CAN,1
Ernst Heinrich Dietrich Reckeweg,1904,M,Gymnastics,USA,1
Almighty Voice,1904,M,Lacrosse,CAN,1
Howard Van Nostrand Valentine,1904,M,Athletics,USA,2
Wilhelm Weber,1904,M,Gymnastics,GER,2
Ralph McKittrick,1904,M,Golf,USA,1
Allen Tarwater West,1904,M,Tennis,USA,1
Hugo Louis Goetz,1904,M,Swimming,USA,1
Peter Joseph Ratican,1904,M,Football,USA,1
Peter Johnson Sturholdt,1904,M,Boxing,USA,1
Ralph Waldo Rose,1904,M,Athletics,USA,3
"Stuart Grosvenor ""Stu"" Stickney",1904,M,Golf,USA,1
"Harold ""Harry"" Weber",1904,M,Golf,USA,1
"James Benner ""Jim"" Juvenal",1904,M,Rowing,USA,1
Warren Kenneth Wood,1904,M,Golf,USA,1
"William Eugene ""Billy"" Dickey",1904,M,Swimming,USA,1
Gwynne Evans,1904,M,Water Polo,USA,1
Gwynne Evans,1904,M,Swimming,USA,1
"Frederick ""Fred"" Winters",1904,M,Weightlifting,USA,1
"Frederick Charles ""Fred"" Warmbold",1904,M,Wrestling,USA,1
Gustave George Bauer,1904,M,Wrestling,USA,1
"Frederick G. ""Fred"" Suerig",1904,M,Rowing,USA,1
"Frederick Garfield ""Fred"" Gilmore",1904,M,Boxing,USA,1
Paul Ludwig Weinstein,1904,M,Athletics,GER,1
"Edward McClellan ""Ned"" Cummins",1904,M,Golf,USA,1
Edward John Meyers,1904,M,Water Polo,USA,1
"Frederick Humphrey ""Fred"" Semple",1904,M,Golf,USA,1
Paul Henry Pilgrim,1904,M,Athletics,USA,1
W. J. Ross,1904,M,Lacrosse,USA,1
W. R. Gibson,1904,M,Lacrosse,USA,1
"Frederick William ""Fred"" Engelhardt",1904,M,Athletics,USA,1
Edward B. Dierkes,1904,M,Football,USA,1
"Frederick William ""Fred"" Schule",1904,M,Athletics,USA,1
"Edward August ""Ed"" Hennig",1904,M,Gymnastics,USA,2
"Frederick William ""Fred"" Steep",1904,M,Football,CAN,1
Jerome Elwell Steever,1904,M,Water Polo,USA,1
Jerry Elmer Winholtz,1904,M,Wrestling,USA,1
"Jesse Landis ""Lee"" Carleton",1904,M,Golf,USA,1
"William Jeremiah ""Bill"" Tuttle",1904,M,Swimming,USA,1
Wallace Bryant,1904,M,Archery,USA,1
"William Jeremiah ""Bill"" Tuttle",1904,M,Water Polo,USA,1
Patrick Grogan,1904,M,Lacrosse,USA,1
Edgar Welch Leonard,1904,M,Tennis,USA,2
"Patrick ""Pat"" Flanagan",1904,M,Tug-Of-War,USA,1
"Gotthardt ""Gustav"" Tiefenthaler",1904,M,Wrestling,SUI,1
"Gza Kiss (Drippei-, -Klein)",1904,M,Swimming,HUN,2
Walter Brack,1904,M,Swimming,GER,2
Edward Victor Siegler,1904,M,Gymnastics,USA,1
"William Henry ""Will"" Thompson",1904,M,Archery,USA,3
Frank Bartholomew Greer,1904,M,Rowing,USA,1
Frank Bee Haller,1904,M,Boxing,USA,1
"James Davies ""Jim"" Lightbody",1904,M,Athletics,USA,4
William F. Grebe,1904,M,Fencing,USA,2
Frank D. Kehoe,1904,M,Diving,USA,1
Frank D. Kehoe,1904,M,Water Polo,USA,1
"William Franklyn ""Bill"" Verner",1904,M,Athletics,USA,2
Frank Dummerth,1904,M,Rowing,USA,1
Frank Frost,1904,M,Football,USA,1
William G. Merz,1904,M,Gymnastics,USA,5
"Raymond Clarence ""Ray"" Ewry",1904,M,Athletics,USA,3
James J. Steen,1904,M,Water Polo,USA,1
"Raymond Comstock ""Ray"" Thorne",1904,M,Swimming,USA,1
Frank Laird Waller,1904,M,Athletics,USA,2
Frank Reamer Schell,1904,M,Rowing,USA,1
Frank Riley Castleman,1904,M,Athletics,USA,1
"Raymond E. ""Ray"" Lawler",1904,M,Football,USA,1
"James Sarsfield ""Jim"" Mitchel",1904,M,Athletics,USA,1
Frank X. Kugler,1904,M,Tug-Of-War,GER,1
"James Showers ""Jim"" Flanigan",1904,M,Rowing,USA,1
Frank X. Kugler,1904,M,Weightlifting,GER,2
Frank X. Kugler,1904,M,Wrestling,GER,1
"Sidney B. ""Sid"" Johnson",1904,M,Tug-Of-War,USA,1
Philip (Philipp-) Kassel,1904,M,Gymnastics,USA,1
Warren George Brittingham,1904,M,Football,USA,1
Edwin Paul Swatek,1904,M,Water Polo,USA,1
"Philip Ewing ""Phil"" Boyd",1904,M,Rowing,CAN,1
Philip Nat Schuster,1904,M,Gymnastics,USA,1
Half Moon,1904,M,Lacrosse,CAN,1
"Frederick ""Fred"" Cresser",1904,M,Rowing,USA,1
"John Joseph ""Joe"" Ravannack",1904,M,Rowing,USA,1
John Arthur Biller,1904,M,Athletics,USA,1
John Joseph Daly,1904,M,Athletics,GBR,1
Albert Johnston,1904,M,Football,CAN,1
"Charles James Hicks January, Jr.",1904,M,Football,USA,1
Charles Jacobus,1904,M,Roque,USA,1
Arthur B. Bailey,1904,M,Rowing,CAN,1
Albert H. Venn,1904,M,Lacrosse,USA,1
"Albert F. ""Al"" Nasse",1904,M,Rowing,USA,1
Albert Ernest Linton,1904,M,Football,CAN,1
Lacey Earnest Hearn,1904,M,Athletics,USA,2
"Albert Conrad ""Al"" Zirkel",1904,M,Wrestling,USA,1
Charles Haberkorn,1904,M,Tug-Of-War,USA,1
"Albert Bond ""Al"" Lambert",1904,M,Golf,USA,1
"Arthur Duncan ""Art"" Hussey",1904,M,Golf,USA,1
"Albert ""Al"" Young (Jung-)",1904,M,Boxing,USA,1
Arthur Fleming Andrews,1904,M,Cycling,USA,2
Charles Krause,1904,M,Gymnastics,USA,2
"Robert W. Williams, Jr.",1904,M,Archery,USA,3
Lawrence Henry Pentland,1904,M,Lacrosse,CAN,1
Lawson Robertson,1904,M,Athletics,USA,1
LeRoy Perry Samse,1904,M,Athletics,USA,1
Arthur George Fox,1904,M,Fencing,USA,1
Charles Ewing Armstrong,1904,M,Rowing,USA,1
Charles Ellis Clapper,1904,M,Wrestling,USA,1
Leo Anthony O'Connell,1904,M,Football,USA,1
"Leo Joseph ""Budd"" Goodwin",1904,M,Swimming,USA,2
"Leo Joseph ""Budd"" Goodwin",1904,M,Water Polo,USA,1
"Arthur Henry ""Art"" Rosenkampff",1904,M,Gymnastics,USA,1
Charles Edward Dvorak,1904,M,Athletics,USA,1
"Leonora Josephine ""Leonie"" Taylor",1904,F,Archery,USA,1
Lesley Ashburner,1904,M,Athletics,USA,1
Arthur Lewis Newton,1904,M,Athletics,USA,3
Lawrence Edward Joseph Feuerbach,1904,M,Athletics,USA,1
Charles Louis Healy,1904,M,Water Polo,USA,1
Charles Mayer,1904,M,Boxing,USA,2
"Charles Meldrum ""Charlie"" Daniels",1904,M,Swimming,USA,5
Otto Frederick Roehm,1904,M,Wrestling,USA,1
Cormic Francis Cosgrove,1904,M,Football,USA,1
Constance Sutton Titus,1904,M,Rowing,USA,1
Conrad Emanuel Magnusson (Magnusen-),1904,M,Tug-Of-War,USA,1
"Conant Meigs ""Con"" King",1904,M,Athletics,USA,2
Clement Eyer Smoot,1904,M,Golf,USA,1
"Karl Fredrik ""Charles"" Ericksen",1904,M,Wrestling,NOR,1
Claude Stanley Jameson,1904,M,Football,USA,1
Clarence Oliver Gamble,1904,M,Tennis,USA,1
Robert E. Farnan,1904,M,Rowing,USA,1
"Robert Edward ""Bob"" Hunter",1904,M,Golf,USA,1
Robert Emil Maysack,1904,M,Gymnastics,USA,1
"Robert George ""Bobby"" Lane",1904,M,Football,CAN,1
Oscar Paul Osthoff,1904,M,Weightlifting,USA,2
Robert LeRoy,1904,M,Tennis,USA,2
Oscar G. Olson,1904,M,Tug-Of-War,USA,1
Oscar Charles Friede,1904,M,Tug-Of-War,USA,1
"Albert Percy ""Red"" Henderson",1904,M,Football,CAN,1
Charles Randolph Hubbard,1904,M,Archery,USA,1
Charles Sherman Woodruff,1904,M,Archery,USA,1
Charles Tatham,1904,M,Fencing,USA,3
Charles Wilhelm Daniel Schlee,1904,M,Cycling,USA,1
Oliver Leonard Kirk,1904,M,Boxing,USA,2
Arthur Martin Stockhoff,1904,M,Rowing,USA,1
Albertson Van Zo Post,1904,M,Fencing,USA,5
Orin Thomas Upshaw,1904,M,Tug-Of-War,USA,1
Orus W. Jones,1904,M,Golf,USA,1
"Oscar A. Goerke, Jr.",1904,M,Cycling,USA,1
Robert Sedgewick Stangland,1904,M,Athletics,USA,2
Oscar Bernard Brockmeyer,1904,M,Football,USA,1
"Robert Samuel ""Bob"" Curry",1904,M,Wrestling,USA,1
"Kenneth Paine ""Ken"" Edwards",1904,M,Golf,USA,1
"Lida Peyton ""Eliza"" Pollock (McMillen-)",1904,F,Archery,USA,3
Lightfoot,1904,M,Lacrosse,CAN,1
Charles Brown,1904,M,Roque,USA,1
Martin Formanack,1904,M,Rowing,USA,1
Sidney Herbert Hatch,1904,M,Athletics,USA,1
Martin Joseph Sheridan,1904,M,Athletics,USA,1
"Benjamin Joseph ""Ben"" Bradshaw",1904,M,Wrestling,USA,1
Benjamin Jamieson,1904,M,Lacrosse,CAN,1
"Thomas Francis ""Tom"" Kiely",1904,M,Athletics,GBR,1
Martin Thomas Dooling,1904,M,Football,USA,1
"Benjamin ""Ben"" Spradley",1904,M,Boxing,USA,1
Adam Beattie Gunn,1904,M,Athletics,USA,1
Mason Elliott Phelps,1904,M,Golf,USA,1
"August ""Gus"" Voerg",1904,M,Rowing,USA,1
"August ""Gus"" Wester, Jr.",1904,M,Wrestling,USA,1
"August Casimir ""Gus"" Erker",1904,M,Rowing,USA,1
"Matilda ""Lida"" Howell (Scott-)",1904,F,Archery,USA,3
"Thomas ""Tom"" Hunter",1904,M,Lacrosse,USA,1
"August Henry ""Gus"" Rodenberg",1904,M,Tug-Of-War,USA,1
"Theodore Joseph ""Ted"" McLear",1904,M,Wrestling,USA,1
Miles J. Burke,1904,M,Boxing,USA,1
Rudolph Tesiny,1904,M,Wrestling,USA,1
A. M. Woods,1904,M,Lacrosse,USA,1
Augustus Michael Gus Goessling,1904,M,Water Polo,USA,1
Spotted Tail,1904,M,Lacrosse,CAN,1
"Michael Daniel ""Mike"" Gleason",1904,M,Rowing,USA,1
Bernhoff (Bernhof-) Otelius Hansen,1904,M,Wrestling,NOR,1
"Michael ""Mike"" Begley",1904,M,Rowing,USA,1
"Thaddeus Rutter ""Thad"" Shideler",1904,M,Athletics,USA,1
Max Wolf,1904,M,Gymnastics,USA,1
Max Philip Emmerich,1904,M,Gymnastics,USA,1
Max Hess,1904,M,Gymnastics,USA,1
Max Braun,1904,M,Tug-Of-War,USA,1
Beals Coleman Wright,1904,M,Tennis,USA,2
Meyer Prinstein,1904,M,Athletics,USA,2
Julius Lenhart,1904,M,Gymnastics,AUT,3
Marquard J. Schwarz,1904,M,Swimming,USA,1
"Thomas Joseph ""Tom"" Cooke",1904,M,Football,USA,1
"Charles Archibald ""Archie"" Hahn",1904,M,Athletics,USA,3
Charles Aman,1904,M,Rowing,USA,1
Charles Albert Bartliff,1904,M,Football,USA,1
"Charles ""Chuck"" Rose",1904,M,Tug-Of-War,USA,1
Arthur Yancey Wear,1904,M,Tennis,USA,1
"Louis ""Lou"" Heim",1904,M,Rowing,USA,1
Louis Albert Corey,1904,M,Athletics,FRA,2
Louis Bernard Strebler,1904,M,Wrestling,USA,1
"Louis Grenville ""Lou"" Abell",1904,M,Rowing,USA,1
"Louis Guy ""Lou"" Wilkins",1904,M,Athletics,USA,1
Louis John Menges,1904,M,Football,USA,1
Louis William Maxson,1904,M,Archery,USA,1
"Louis de Breda ""Lou"" Handley",1904,M,Swimming,USA,1
"Louis de Breda ""Lou"" Handley",1904,M,Water Polo,USA,1
Nikolaos P. Georgantas,1904,M,Athletics,GRE,1
Night Hawk,1904,M,Lacrosse,CAN,1
Man Afraid Soap,1904,M,Lacrosse,CAN,1
Thomas Richardson Loudon,1904,M,Rowing,CAN,1
"Thomas Sylvester ""Tom"" Taylor",1904,M,Football,CAN,1
Black Eagle,1904,M,Lacrosse,CAN,1
Black Hawk,1904,M,Lacrosse,CAN,1
"Thomas Thurston ""Tom"" January",1904,M,Football,USA,1
Thomas Truxtun Hare,1904,M,Athletics,USA,1
"Thomas John ""Tom"" Hicks",1904,M,Athletics,USA,1
Adolf Spinnler,1904,M,Gymnastics,SUI,2
"Nathaniel Ford Moore, III",1904,M,Golf,USA,1
"Nathaniel John ""Nate"" Cartmell",1904,M,Athletics,USA,2
Burt Plumb McKinnie,1904,M,Golf,USA,2
Burton Cecil Downing,1904,M,Cycling,USA,6
Manuel Dionisio Daz Martnez,1904,M,Fencing,CUB,2
Manfred Kurt Washington Toeppen,1904,M,Water Polo,USA,1
Marcus Latimer Hurley,1904,M,Cycling,USA,5
Otto I. Steffen,1904,M,Gymnastics,USA,1
Charles Henry Robert Thias,1904,M,Tug-Of-War,USA,1
George Mayer,1904,M,Gymnastics,USA,1
"John Onins Exley, Jr.",1904,M,Rowing,USA,1
"Daniel ""Dan"" Frank",1904,M,Athletics,USA,1
"Joseph Patrick ""Joe"" Lydon",1904,M,Football,USA,1
John William Grieb,1904,M,Gymnastics,USA,2
"Joseph Patrick ""Joe"" Lydon",1904,M,Boxing,USA,1
Joseph-tienne Desmarteau (Birtz-),1904,M,Athletics,CAN,1
Joseph James McLoughlin,1904,M,Rowing,USA,1
Joseph J. Brady,1904,M,Football,USA,1
David Hey Bratton,1904,M,Water Polo,USA,1
John Riley Maxwell,1904,M,Golf,USA,1
David Thurwell Hammond,1904,M,Swimming,USA,1
Joseph Francis Stadler,1904,M,Athletics,USA,2
David A. Hesser,1904,M,Water Polo,USA,1
"Joseph A. ""Joe"" Ryan",1904,M,Rowing,USA,1
"Joseph Francis ""Joe"" Dempsey",1904,M,Rowing,USA,1
Rex Ellingwood Beach,1904,M,Water Polo,USA,1
Cyrus Edwin Dallin,1904,M,Archery,USA,1
David Curtiss Munson,1904,M,Athletics,USA,1
John Riegel DeWitt,1904,M,Athletics,USA,1
"Daniel Edward ""Ned"" Sawyer",1904,M,Golf,USA,1
John Scott Leary,1904,M,Swimming,USA,2
David Thurwell Hammond,1904,M,Water Polo,USA,1
John Joseph Flanagan,1904,M,Athletics,USA,2
John Joseph Francis Mulcahy,1904,M,Rowing,USA,2
John Louis Joachim,1904,M,Rowing,USA,1
Julian Frank Schmitz,1904,M,Gymnastics,USA,1
Otto Wahle,1904,M,Swimming,AUT,1
"Joseph Aloysius ""Joe"" Ruddy, Sr.",1904,M,Swimming,USA,1
Otto Lorne Christman,1904,M,Football,CAN,1
"Joseph Aloysius ""Joe"" Ruddy, Sr.",1904,M,Water Polo,USA,1
John W. Freitag,1904,M,Rowing,USA,1
Johnson,1904,M,Football,USA,1
Joseph lie Blanchard,1904,M,Lacrosse,CAN,1
"Joseph Walter Harris ""Joe"" Wright, Sr.",1904,M,Rowing,CAN,1
John Wells,1904,M,Rowing,USA,1
Joseph Walker Wear,1904,M,Tennis,USA,1
Filiberto Innocenti,1906,M,Gymnastics,ITA,1
Petros Velliotis,1906,M,Rowing,GRE,1
Carlo Gandini,1906,M,Fencing,ITA,1
Heinrich Schneidereit,1906,M,Weightlifting,GER,2
Antonios Tegos,1906,M,Football,GRE,1
Petros Pterneas,1906,M,Rowing,GRE,1
Heinrich Rondi,1906,M,Weightlifting,GER,1
Lon Dupont,1906,M,Athletics,BEL,1
Carl Yngvar Fredriksen,1906,M,Gymnastics,NOR,1
Heinrich Rondi,1906,M,Tug-Of-War,GER,1
Finn Rasmus Holmsen Mnster,1906,M,Gymnastics,NOR,1
Lon Ernest Moreaux,1906,M,Shooting,FRA,5
Rodrigo Bertinotti,1906,M,Gymnastics,ITA,1
